# Unified curated and Vahan-bundle event timeline; possible_overlap flags collisions.
# Event annotations provide context, not causal identification.
event_id,date,date_end,state_code,category,type,tier,label,detail,source,quality,origin,possible_overlap
bundle:A23,2018-02,2023-12,AP,subsidy,subsidy,2,AP EV Policy 2018 — 100% Road Tax Waiver,"Andhra Pradesh EV Policy 2018–2023 offered 100% road tax exemption for EVs. Road tax on an ₹8L EV can be ₹50,000–80,000 — a material cost reduction. AP EV registrations grew faster than national average from FY2019 onward. Signal strongest in EV 2W and EV 3W (most price-sensitive). AP punches above its income level on EV adoption due to this policy.",AP Govt GO Ms No. 5 Feb 2018; SMEV AP data; EV Reporter AP analysis,reported,vahan_bundle,False
bundle:A44,2018-07,2018-09,ALL,regulation,regulation,3,Axle Load Norms Relaxed +20% GVW,"MoRTH relaxed axle load norms by 20% in July 2018, effectively allowing trucks to carry more cargo per trip. Reduced demand for incremental trucks in the short term (existing fleet became more efficient). Context for Diesel CV demand trajectory mid-2018.",MoRTH GVW notification Jul 2018; SIAM CV data Q2 FY19,reported,vahan_bundle,False
bundle:A06,2018-09,2019-03,ALL,shock,shock,1,NBFC Credit Crisis — IL&FS Collapse,"IL&FS default in September 2018 triggered an NBFC liquidity crisis. Auto financing dried up for 2-wheelers, 3-wheelers, and commercial vehicles. SIAM reports FY2019 vehicle sales declined 15% YoY. Effect was sustained for 6 months (Q3 FY19 through Q4 FY19). AP shows stronger signal due to above-average auto-rickshaw (CNG 3W) density.",RBI FSR Dec 2018; SIAM FY19 annual data; FADA; CRISIL credit report,reported,vahan_bundle,False
curated:ILFS,2018-09,2018-09,ALL,finance,finance,2,IL&FS default / NBFC crisis,Auto retail financing squeeze FY19-FY20,RBI,official,curated_reference,False
bundle:A36,2019-02,2019-03,ALL,subsidy,subsidy,3,FAME I Ends — Gap Before FAME II,FAME I ended March 2019. Brief gap before FAME II (Apr 2019). Minor EV 2W dip visible only in EV-specific chart. Contextual: explains why EV 2W shows minor softness in Feb–Mar 2019 before the FAME II surge.,MHI FAME-I closure; SMEV data Q4 FY19,reported,vahan_bundle,False
bundle:A07,2019-04,2019-04,ALL,subsidy,subsidy,1,"FAME II Launched — ₹10,000 Cr EV Subsidy","Cabinet approved FAME II with ₹10,000 Cr allocation for 3 years (April 2019). ₹10,000/kWh subsidy for 4W EVs enabled Tata Nexon EV launch at ₹13.99L. EV 4W registrations tripled in FY20. AP benefits from this plus its own concurrent road tax exemption (A23).",PIB Feb 2019; MHI FAME-II notification; SMEV data FY20; Tata Motors investor call,reported,vahan_bundle,True
curated:FAME2,2019-04,2019-04,ALL,subsidy,subsidy,2,FAME-II begins,Rs 10k cr; PV incentives restricted to commercial/fleet,MoHI,official,curated_reference,True
bundle:A02,2020-03,2020-06,ALL,shock,shock,1,COVID-19 Lockdown + BS6 Norm Transition,"COVID-19 national lockdown (Mar 23, 2020) closed all RTOs simultaneously. April 2020 near-zero registrations. Simultaneously, BS6 emission norms took effect April 1, 2020, ending BS4 vehicle sales. March 2020 saw front-loading rush (BS4 sell-off). This is the highest-magnitude anomaly in the entire Vahan dataset. The subsequent months will show artificially high YoY growth due to near-zero base.",MHA lockdown order Mar 23 2020; SC BS6 mandate; SIAM Apr 2020; FADA retail data,reported,vahan_bundle,True
bundle:A03,2020-03,2020-04,ALL,regulation,regulation,1,BS6 Mandatory — BS4 Sell-off Peak,"BS6 emission norms mandatory from April 1, 2020 (Supreme Court order). Dealers and OEMs rushed to clear BS4 inventory in March 2020 — creating a front-load spike. April 2020 registrations then cliffed due to both BS6 transition AND COVID lockdown simultaneously.",SC order Sep 2017; MoRTH BS6 notification; FADA Mar 2020 retail data,reported,vahan_bundle,False
curated:COVID1,2020-03,2020-03,ALL,shock,shock,2,COVID-19 lockdown wave 1,National lockdown; April 2020 registrations near zero,GoI,official,curated_reference,True
bundle:A13,2020-04,2020-04,ALL,regulation,regulation,1,Maruti Suzuki Exits Diesel — Permanent,"Maruti Suzuki (45%+ of market) decided not to develop BS6-compliant diesel engines, exiting diesel entirely from April 2020. Diesel count for Maruti in Maker-dimension data drops to exactly zero from this date and never recovers. This is a structural, permanent event. Combined with Honda's simultaneous diesel exit, removed ~50% of diesel volume from the market immediately.",Maruti annual report FY20; Maruti press statement Apr 2020; SIAM,reported,vahan_bundle,False
curated:BS6,2020-04,2020-04,ALL,emission,emission,2,BS-VI mandatory,Diesel small-car exits (e.g. Maruti diesel discontinued),MoRTH,official,curated_reference,False
bundle:A28,2020-06,2020-09,ALL,shock,shock,2,COVID Unlock 1.0 — Pent-up Demand Recovery,"Phased unlock from June 1, 2020. Pent-up demand + COVID-driven preference shift toward personal mobility (away from public transport) drove a sharp V-shaped recovery. June–September 2020 registrations above pre-COVID trend in several segments. Note: high YoY growth in these months is misleading due to near-zero April 2020 base.",MHA unlock guidelines Jun 2020; FADA Jun-Sep 2020; SIAM,reported,vahan_bundle,False
curated:DL_EV,2020-08,2020-08,DL,ev_policy,ev_policy,2,Delhi EV Policy,Purchase incentives + road tax & registration fee waiver,GNCTD,official,curated_reference,False
curated:TS_EV,2020-08,2020-08,TS,ev_policy,ev_policy,2,Telangana EV Policy,Road tax + registration exemption for first buyers,GoTS,official,curated_reference,False
bundle:A25,2021-01,2025-12,ALL,regulation,regulation,2,Diesel 4W Structural Decline — Post BS6 Premium,"BS6 raised diesel variant prices by ₹1–2L vs petrol (higher compliance cost). Combined with Maruti and Honda exiting diesel (April 2020), diesel share of PV registrations fell from ~40% in FY18 to ~16% by FY23. This is a multi-year TREND CHANGE, not a single-event anomaly. Annotate as a structural inflection starting FY2021 onwards.",SIAM fuel-type data FY18-FY23; JATO Dynamics; Maruti annual reports,reported,vahan_bundle,False
bundle:A11,2021-04,2021-06,ALL,shock,shock,1,COVID-19 Second Wave — State Lockdowns,COVID second wave (Delta variant) triggered state-level lockdowns Apr–May 2021. Less severe than 2020 (RTOs partially functional). All segments show 20–30% dip vs trend. AP shows comparable signal to national. Recovery faster than 2020.,State lockdown orders Apr 2021; SIAM May 2021; FADA,reported,vahan_bundle,True
curated:COVID2,2021-04,2021-04,ALL,shock,shock,2,COVID-19 wave 2,Regional lockdowns; supply + demand shock,GoI,official,curated_reference,True
bundle:A39,2021-04,2021-12,ALL,regulation,regulation,3,Green Tax on Older Vehicles,"State-level green taxes on older vehicles (>8yr for commercial, >15yr for personal) introduced from 2021. Accelerated replacement demand for old Petrol and Diesel vehicles. Context for why older vehicle registrations decline post-2021.",MoRTH green tax notification 2021; State transport departments,reported,vahan_bundle,False
bundle:A12,2021-06,2022-03,ALL,shock,shock,1,Global Semiconductor Shortage — OEM Supply Cuts,"Global semiconductor chip shortage hit India OEMs from mid-2021. Maruti suspended production. Waiting periods for popular models extended to 6–12 months. Supply, not demand, was the binding constraint. Registration data understates true demand — retail waitlists were at all-time highs while Vahan registrations were suppressed by supply. Eased from Q4 2022.",Maruti investor call Jul 2021; SIAM supply alert; MHI supply chain report; Hyundai Kia supply advisory,reported,vahan_bundle,False
bundle:A20,2021-06,2021-08,ALL,subsidy,subsidy,2,FAME II Subsidy Cut — 40% to 15%,"MHI reduced FAME II subsidy for 2-wheelers from 40% to 15% of ex-factory price (June 2021). EV 2W prices effectively rose ₹20,000–30,000. Brief demand adjustment dip visible in EV 2W chart. Recovery as OEMs absorbed costs.",MHI circular Jun 2021; SMEV response; SIAM monthly EV data,reported,vahan_bundle,False
bundle:A32,2021-07,2022-03,ALL,shock,shock,2,Post-COVID Pent-up Demand Surge,Post-second wave pent-up demand converged with semiconductor shortage easing (partial) and personal mobility preference shift to drive above-trend registrations Q2 FY22 through FY23. AP rural 2W showed particularly strong recovery. YoY growth rates inflated by low-base effects from Q1 FY21 — absolute volume vs FY20 trend is the correct comparison.,SIAM FY22-23 data; FADA; RBI consumer survey,reported,vahan_bundle,False
curated:GJ_EV,2021-07,2021-07,GJ,ev_policy,ev_policy,2,Gujarat EV Policy,Per-kWh purchase subsidy; registration incentives,GoG,official,curated_reference,False
curated:MH_EV,2021-07,2021-07,MH,ev_policy,ev_policy,2,Maharashtra EV Policy,Purchase incentives + road tax exemption,GoM,official,curated_reference,False
bundle:A24,2021-09,2023-03,ALL,product,product,2,Mahindra UV Super-cycle — Thar/XUV700/Scorpio N,"Mahindra launched new-generation Thar (Oct 2020), XUV700 (Oct 2021) and Scorpio N (Jul 2022) — three consecutive blockbuster launches. Mahindra market share jumped from ~5% to ~10%+ in 18 months. Visible as OEM-level spike in Maker-dimension data. Waiting periods of 12–18 months indicate genuine demand exceeding supply.",Mahindra investor calls; SIAM monthly Mahindra data; FADA,reported,vahan_bundle,True
bundle:A27,2021-09,2021-11,ALL,product,product,2,Ola Electric S1 Launch — EV 2W Mass Market,"Ola Electric S1 launched September 2021 at ₹99,999. First mass-market, sub-₹1L electric scooter from a credible brand. EV 2W monthly registrations doubled within 3 months of launch. Triggered competitive response from Hero, TVS, Bajaj — accelerating the entire EV 2W segment.",Ola Electric press release Sep 2021; VAHAN EV 2W data Oct-Dec 2021; SMEV,reported,vahan_bundle,True
curated:CHIP,2021-09,2021-09,ALL,shock,shock,2,Semiconductor shortage peak,Production cuts; order backlogs especially PV,SIAM/industry,reported,curated_reference,False
curated:FUEL_CUT_NOV21,2021-11,2021-11,ALL,fuel,fuel,2,Central excise cut on petrol/diesel,Rs 5/10 cut; several states cut VAT,MoF,official,curated_reference,False
bundle:A09,2022-03,2022-10,ALL,shock,shock,1,Russia-Ukraine War — Fuel Price Shock,"Russia-Ukraine war (Feb 2022) caused global fuel price spike. India CNG price rose from ₹43/kg to ₹80/kg in Delhi (81% increase, Apr–Oct 2022). This temporarily eroded CNG's operating cost advantage. CNG vehicle registration GROWTH RATE halved — not absolute decline. Diesel also suppressed. EV comparatively benefitted. CNG resumed growth as it remained cheaper in total cost of ownership.",IGL price notifications 2022; PPAC data; SIAM monthly data Jul-Oct 2022,reported,vahan_bundle,False
bundle:A08,2022-04,2022-07,ALL,regulation,regulation,1,FAME II Fraud Crackdown — EV 2W Disruption,"MHI investigation found Okinawa, Hero Electric, Ola Electric and others violated localisation norms and claimed FAME II subsidies fraudulently. Subsidy payments withheld from top-5 e2W OEMs. EV 2W registrations plateaued/dipped May–July 2022. This is a supply-payment disruption, not demand cooling. Recovery once compliance confirmed.",MHI investigation circular Apr 2022; SMEV statement; PIB May 2022,reported,vahan_bundle,False
bundle:A30,2022-04,2022-10,ALL,shock,shock,2,CNG Price Hike Peak — Growth Rate Halved,"CNG price rose 81% in 18 months (₹43→₹80/kg in Delhi, Apr 2021–Jun 2022). CNG vehicle new registrations growth rate decelerated — not absolute decline, but rate halved. Part of broader Russia-Ukraine fuel shock cluster. CNG's total cost advantage vs petrol was temporarily compressed. Growth resumed as CNG remained cheaper long-term.",IGL/MGL price notifications 2022; PPAC data; SIAM CNG monthly,reported,vahan_bundle,False
curated:GAS_SHOCK,2022-04,2022-04,ALL,fuel,fuel,2,Global gas price shock,CNG prices spike ~50% (Russia-Ukraine); dented CNG economics,PPAC,official,curated_reference,False
curated:FUEL_CUT_MAY22,2022-05,2022-05,ALL,fuel,fuel,2,Second excise cut,Rs 8/6 cut on petrol/diesel,MoF,official,curated_reference,False
bundle:A42,2022-05,2023-02,ALL,policy,policy,3,RBI Rate Hike Cycle +250bps — 2W Financing Impact,"RBI raised repo rate by 250bps (May 2022–Feb 2023) to combat inflation. Auto loan EMIs rose 15–20%. Most impacted: 2W Petrol (entry-level, credit-sensitive). 4W also affected but premium segment less so. AP rural 2W shows stronger signal due to higher NBFC dependence.",RBI monetary policy May 2022-Feb 2023; SIAM 2W data H2 FY23; FADA,reported,vahan_bundle,False
bundle:A26,2022-09,2022-10,ALL,product,product,2,Strong Hybrid EV Market Birth — Grand Vitara,Maruti Suzuki Grand Vitara with Strong Hybrid launched September 2022 alongside Toyota Urban Cruiser Hyryder. First mass-market strong hybrid at ₹15L price point. Strong Hybrid EV category in Vahan data goes from near-zero to material volumes from this month. The +400% YoY growth rate in Oct 2022 is misleading due to near-zero base — absolute volume is what matters.,Maruti press release Sep 2022; SIAM Strong Hybrid monthly data; VAHAN Oct 2022,reported,vahan_bundle,False
curated:RJ_EV,2022-09,2022-09,RJ,ev_policy,ev_policy,2,Rajasthan EV Policy,SGST reimbursement + subsidies,GoR,official,curated_reference,False
bundle:A33,2022-10,2023-03,ALL,shock,shock,2,Semiconductor Shortage Easing — Supply Recovery,"Global semiconductor shortage eased from Q4 2022. OEM production normalised. Waiting periods for popular models (Creta, Nexon, Brezza) compressed from 12 months to 4–8 weeks. Registration volumes jumped as suppressed backlog orders were fulfilled. This is a supply recovery, not organic demand growth — the underlying demand had been waiting.",SIAM Q4 FY23 supply data; OEM investor calls Q3 FY23; ACMA,reported,vahan_bundle,False
curated:UP_EV,2022-10,2022-10,UP,ev_policy,ev_policy,2,UP EV Policy 2022,100% road tax + registration exemption 3y (5y for UP-made),GoUP,official,curated_reference,False
bundle:A35,2023-01,2023-04,ALL,regulation,regulation,2,BS6 Phase 2 OBD2 — Diesel HCV Front-load,"BS6 Phase 2 (OBD2 + RDE requirements) took effect April 2023, primarily affecting heavy commercial vehicles (HCV). Trucking companies and fleet operators front-loaded diesel HCV purchases in Q3/Q4 FY23. Mainly visible in Diesel CV data, minimal impact on passenger vehicle registrations.",MoRTH BS6 Phase 2 notification; SIAM HCV data Q3-Q4 FY23; FADA CV data,reported,vahan_bundle,False
curated:TN_EV,2023-02,2023-02,TN,ev_policy,ev_policy,2,TN EV Policy 2023,Road tax exemption till Dec 2025 + manufacturing focus,GoTN,official,curated_reference,False
curated:BS6_2,2023-04,2023-04,ALL,emission,emission,2,BS-VI Phase 2 (RDE),Real-driving-emissions norms; price increases esp. diesel,MoRTH,official,curated_reference,False
bundle:A46,2024-01,2025-12,AP,subsidy,subsidy,3,AP EV Policy 4.0 — 2024–2029,Andhra Pradesh launched EV Policy 4.0 (2024–2029) building on 2018–2023 policy. Continued road tax exemption for EVs plus additional incentives for commercial EV operators. Signal visible in AP EV data from 2024 onwards. TDP government maintained and expanded EV incentives.,AP Govt EV Policy 4.0 notification 2024; EV Reporter AP analysis,reported,vahan_bundle,False
bundle:A47,2024-01,2024-12,ALL,subsidy,subsidy,3,PM E-SEWA — EV 3W for Women Micro-Entrepreneurs,"PM E-SEWA scheme (2024) provided EVs to women micro-entrepreneurs, specifically EV 3-wheelers. Niche segment stimulation — mainly visible in EV 3W category. Small absolute volumes but represents structural government-backed demand.",PIB 2024; MHI PM E-SEWA notification,reported,vahan_bundle,False
bundle:A10,2024-03,2024-04,ALL,subsidy,subsidy,1,FAME II Ends — Front-load + Cliff,FAME II subsidy scheme ended March 2024. Classic front-load: EV 2W registrations elevated in February–March 2024 before expiry. April 2024 cliff as subsidy removed (prices effectively rose ₹1–2L). EMPS 2024 bridged the gap from April 2024 onward.,MHI FAME-II closure notification; VAHAN Apr 2024 data; SMEV statement,reported,vahan_bundle,False
bundle:A21,2024-04,2024-09,ALL,subsidy,subsidy,2,EMPS 2024 — Bridge Subsidy Post-FAME II,Electric Mobility Promotion Scheme 2024 launched April 2024 to bridge FAME II expiry gap. Covered EV 2W and 3W with reduced per-vehicle incentive. Prevented a full demand cliff after FAME II ended. Extended to September 2024.,MHI EMPS notification Apr 2024; PIB; SMEV,reported,vahan_bundle,True
curated:EMPS,2024-04,2024-04,ALL,subsidy,subsidy,2,EMPS bridge scheme,Interim e-mobility scheme between FAME-II and PM E-DRIVE (2W/3W only),MoHI,official,curated_reference,True
bundle:A34,2024-05,2024-09,AP,policy,policy,2,AP Government Change + Amaravati Revival,AP state elections May 2024: YSRCP replaced by TDP-led NDA alliance. Government fleet procurement paused during transition. TDP reinstated Amaravati as capital city (Jun 2024) — CV (construction vehicles) and infrastructure demand revival. Temporary Q2 2024 all-segment dip followed by recovery. EV Bus procurement under AP EV Policy accelerated under new government.,AP election results May 2024; AP Cabinet order Jun 2024 Amaravati; FADA AP monthly,reported,vahan_bundle,False
bundle:A22,2024-10,2024-12,ALL,subsidy,subsidy,2,"PM E-DRIVE Scheme — ₹10,900 Cr","PM Electric Drive Revolution in Innovative Vehicle Enhancement scheme approved October 2024 with ₹10,900 Cr allocation. Covers EV 2W, 3W, buses with ₹13,000–15,000/kWh subsidy for 4W EVs. Stronger signal than EMPS — larger budget, longer horizon.",PIB Oct 2024; MHI PM e-DRIVE notification; SMEV,reported,vahan_bundle,True
curated:PMEDRIVE,2024-10,2024-10,ALL,subsidy,subsidy,2,PM E-DRIVE begins,Rs 10.9k cr; no private e-car purchase subsidy; charging infra push,MoHI,official,curated_reference,True
bundle:A14,2025-07,2025-12,ALL,regulation,regulation,1,GST 2.0 — Comprehensive Vehicle Rate Rationalisation,GST Council's comprehensive rate rationalisation (July 2025) reduced effective GST burden on vehicles. All segments benefitted. Demand stimulation visible in Q2–Q4 2025 registrations. Effect strongest in mid-size segment where the cess reduction was largest.,GST Council Jul 2025; PIB; SIAM post-GST 2.0 data,reported,vahan_bundle,False
curated:GST2,2025-09,2025-09,ALL,tax,tax,2,GST 2.0 rate rationalisation,Small cars moved to 18% slab (from 28%+cess); large cars 40% flat,GST Council,official,curated_reference,False
